court_num,circuit_num,end_year,start_year,judge_name,year,name_perm
1104,2,2022.0,2012.0,"Abrams, Ronnie",0,RONNIE  ABRAMS
1083,11,2018.0,1982.0,"Acker, William Marsh, Jr.",0,WILLIAM MARSH ACKER
1035,3,2009.0,1979.0,"Ackerman, Harold Arnold",0,HAROLD ARNOLD ACKERMAN
1044,1,2014.0,1982.0,"Acosta, Raymond L.",0,RAYMOND L ACOSTA
1077,11,2022.0,1993.0,"Adams, Henry Lee, Jr.",0,HENRY LEE ADAMS
1092,6,2022.0,2003.0,"Adams, John R.",0,JOHN R ADAMS
1074,7,2022.0,1997.0,"Adelman, Lynn S.",0,LYNN S ADELMAN
1002,9,2022.0,2020.0,"Aenlle-Rocha, Fernando Lazaro",0,FERNANDO LAZARO AENLLE-ROCHA
1061,5,2022.0,2002.0,"Africk, Lance M.",0,LANCE M AFRICK
4,4,2022.0,2008.0,"Agee, G. Steven",0,G STEVEN AGEE
1041,9,2022.0,1998.0,"Aiken, Ann L.",0,ANN L AIKEN
1099,11,2009.0,1971.0,"Alaimo, Anthony A.",0,ANTHONY A ALAIMO
9,9,2015.0,1979.0,"AlarcÃ³n, Arthur Lawrence",0,ARTHUR LAWRENCE ALARCÃ³N
1120,5,2022.0,2018.0,"Albright, Alan D",0,ALAN D ALBRIGHT
1076,11,2022.0,1991.0,"Albritton, William Harold III",0,WILLIAM HAROLD ALBRITTON
3,3,2014.0,1968.0,"Aldisert, Ruggero John",0,RUGGERO JOHN ALDISERT
1092,6,2010.0,1980.0,"Aldrich, Ann",0,ANN  ALDRICH
1,1,2002.0,1959.0,"Aldrich, Bailey",0,BAILEY  ALDRICH
1087,7,2003.0,1987.0,"Alesia, James Henry",0,JAMES HENRY ALESIA
3,3,2006.0,1990.0,"Alito, Samuel A., Jr.",0,SAMUEL A ALITO
99,99,2022.0,2006.0,"Alito, Samuel A., Jr.",0,SAMUEL A ALITO
1072,4,2022.0,2011.0,"Allen, Arenda Lauretta Wright",0,ARENDA LAURETTA WRIGHT ALLEN
1109,6,2000.0,1971.0,"Allen, Charles Mengel",0,CHARLES MENGEL ALLEN
1116,10,2022.0,1985.0,"Alley, Wayne Edward",0,WAYNE EDWARD ALLEY
1087,7,2022.0,2014.0,"Alonso, Jorge Luis",0,JORGE LUIS ALONSO
1028,8,2022.0,1974.0,"Alsop, Donald Douglas",0,DONALD DOUGLAS ALSOP
1072,4,2022.0,2019.0,"Alston, Rossie David, Jr.",0,ROSSIE DAVID ALSTON
1084,9,2022.0,1999.0,"Alsup, William Haskell",0,WILLIAM HASKELL ALSUP
1098,11,2022.0,2019.0,"Altman, Roy Kalman",0,ROY KALMAN ALTMAN
1098,11,2022.0,2003.0,"Altonaga, Cecilia M.",0,CECILIA M ALTONAGA
1106,5,2022.0,2004.0,"Alvarez, Micaela",0,MICAELA  ALVAREZ
3,3,2022.0,2000.0,"Ambro, Thomas L.",0,THOMAS L AMBRO
1117,3,2022.0,1993.0,"Ambrose, Donetta W.",0,DONETTA W AMBROSE
1065,2,2022.0,1990.0,"Amon, Carol Bagley",0,CAROL BAGLEY AMON
1087,7,2010.0,1991.0,"Andersen, Wayne R.",0,WAYNE R ANDERSEN
1046,4,2016.0,1980.0,"Anderson, George Ross, Jr.",0,GEORGE ROSS ANDERSON
1046,4,2022.0,1986.0,"Anderson, Joseph Fletcher, Jr.",0,JOSEPH FLETCHER ANDERSON
1002,9,2022.0,2002.0,"Anderson, Percy",0,PERCY  ANDERSON
11,11,2022.0,1981.0,"Anderson, R[obert] Lanier III",0,ROBERT LANIER ANDERSON
1119,6,2022.0,2008.0,"Anderson, Stanley Thomas",0,STANLEY THOMAS ANDERSON
10,10,2022.0,1985.0,"Anderson, Stephen Hale",0,STEPHEN HALE ANDERSON
